1,A1,Four Seasons,7.3,Chefs Rec
2,A2,Wandering Dragon,7.3,Chefs Rec
3,A3,Happy Family,7.3,Chefs Rec
4,A4,Merry Paradise,7.3,Chefs Rec
5,A5.1,1/4 Crispy Duck,9.0,Chefs Rec
6,A5.2,1/2 Crispy Duck,17.0,Chefs Rec
7,A6,Aro. Lamb + spicy s.,6.3,Chefs Rec
8,A7,Chicken Br. + Coconut C.S.,6.2,Chefs Rec
9,A8,K. Prawn + Coconut C.S.,6.7,Chefs Rec
10,A9,Mixed Meat + Bean Curd,6.2,Chefs Rec
11,A10,Shredded Beef + Bean Curd,6.2,Chefs Rec
12,A11,Fillet Steak + Canton. S.,8.5,Chefs Rec
13,A12,Fr. Shredded Beef + Chilli,6.4,Chefs Rec
14,A13,Szechuan King Prawn,6.7,Chefs Rec
15,A14,Szechuan Chicken,6.4,Chefs Rec
16,A15,Szechuan Pork,6.4,Chefs Rec
17,A16,K. Prawn + Garlic S.,6.7,Chefs Rec
18,A17,Chicken + Garlic S.,6.2,Chefs Rec
19,A18, Beef + Garlic S.,6.2,Chefs Rec
20,A19,Koon Po K. Prawn,6.7,Chefs Rec
21,A20,Koon Po Chicken,6.2,Chefs Rec
22,A21,Koon Po Pork,6.2,Chefs Rec
23,A22,K. Prawn + Broccoli,6.7,Chefs Rec
24,A23,Chicken + Broccoli,6.2,Chefs Rec
25,A24,Beef + Broccoli,6.2,Chefs Rec
26,A25,Satay K. Prawn Skew.,6.7,Chefs Rec
27,A26,Satay Chicken Skew.,6.2,Chefs Rec
28,A27,Satay Beef Skew.,6.2,Chefs Rec
29,1,Chicken + Mush. Soup,3.1,Soup and App
30,2,Chicken + Nood. Soup,3.1,Soup and App
31,3,Chicken + SweetCorn Soup,3.3,Soup and App
32,4,Hot + Sour Soup,3.3,Soup and App
33,4a,Wan Ton Soup,3.5,Soup and App
34,5,Mini Spring Rolls(8),2,Soup and App
35,5a,Curry Samosas,2.2,Soup and App
36,6,Crispy Panc. Roll,2.7,Soup and App
37,6a,Mini Peking Duck Rolls(4),2.6,Soup and App
38,7,Prawn Crackers,1.9,Soup and App
39,8,BBQ Ribs,3.4,Soup and App
40,9,Sesame Prawn Toast,3.4,Soup and App
41,10,Seaweed,3.4,Soup and App
42,11,Chicken + Mush.,5.8,Chicken
43,12,Chicken + Bamb. and Water Chestnuts,5.8,Chicken
44,13,Chicken + Cashew N.,6.2,Chicken
45,14,Chicken + Pineapple,5.8,Chicken
46,15,Chicken + Ginger + Pineapple,6.2,Chicken
47,16,Chicken + Tomatoes,5.8,Chicken
48,17,Chicken + Sweetcorn,5.8,Chicken
49,18,Roast Chicken Ch. Style,6.2,Chicken
50,19,Chicken + Oyster S.,6.2,Chicken
51,20,Chicken + Straw Mush.,6.2,Chicken
52,21,Chicken + Chinese Mush.,6.2,Chicken
53,22,Chicken + Ging. Spring Onion,6.2,Chicken
54,23,Chicken + Green Pepp. Black Bean S.,6.2,Chicken
55,24,Chicken + Chinese Mixed Veg.,6.2,Chicken
56,25,Satay Chicken,6.2,Chicken
57,26,Lemon Chicken,6.2,Chicken
58,27,Beef + Mush.,5.8,Beef
59,28,Beef + Bamb. and Water Chestnuts,5.8,Beef
60,29,Beef + Ginger + Pineapple,6.2,Beef
61,30,Beef + Tomatoes,5.8,Beef
62,31,Beef + Onions,5.8,Beef
63,32,Beef + Oyster S.,6.2,Beef
64,33,Beef + Straw Mush.,6.2,Beef
65,34,Beef + Chinese Mush.,6.2,Beef
66,35,Beef + Ging. Spring Onion,6.2,Beef
67,36,Beef + Green Pepp. Black Bean S.,6.2,Beef
68,37,Beef + Chinese Mixed Veg,6.2,Beef
69,38,Satay Beef,6.2,Beef
70,39,K. Prawn + Mush.,6.4,Seafood
71,40,Shrimp + Mush.,5.9,Seafood
72,41,K. Prawn + Bamb + Water Chestnuts,6.4,Seafood
73,42,K. Prawn + Cashew N.,6.7,Seafood
74,43,K. Prawn + Pineapple,6.4,Seafood
75,44,K. Prawn + Ging. + Pineapple,6.7,Seafood
76,45,K. Prawn + Tomatoes,6.4,Seafood
77,46,K. Prawn + Sweetcorn,6.4,Seafood
78,47,K. Prawn + Oyster S.,6.7,Seafood
79,48,K. Prawn + Straw Mush.,6.7,Seafood
80,49,K. Prawn + Chinese Mush.,6.7,Seafood
81,50,K. Prawn + Ging. + Spring Onion,6.7,Seafood
82,51,K. Prawn + Green Pepp. + Black Bean S.,6.7,Seafood
83,52,K. Prawn + Chinese Mixed Veg.,6.7,Seafood
84,53,Satay K. Prawn,6.7,Seafood
85,54,Fried K. Prawn in Batter,6.7,Seafood
86,55,BBQ. Pork Ribs(Portion),7.8,Pork
87,56,Salt and Spicy Ribs,6.5,Pork
88,57,Ribs in Peking S.,6.5,Pork
89,58,Pork + Mush.,5.8,Pork
90,59,Pork + Bamb. + Water Chestnuts,5.8, Pork
91,60,Roast Pork + Beansprouts,6.2,Pork
